id	category	text	image	option_1	option_2	option_3	option_4	option_5	answer	explanation	term_ids
50	法令	第4類危険物の運搬容器の充填率（液体）として、正しいものはどれか。	-	90%以下	95%以下	98%以下	99%以下	制限なし	3	液体の危険物は、容器の容積の98％以下で収納し、かつ55℃でも漏れない空間を残す必要があります。（規則 第43条の2）	"K186, K047"
51	法令	運搬時の積み重ねの高さ制限は何m以下か。	-	1.5m以下	2m以下	3m以下	4m以下	制限なし	3	運搬容器を積み重ねる場合の高さは、原則として3m以下とされています。（規則 第43条の4）	"K184, K136, K004"
52	法令	ガソリンの給油ノズルの色として、正しいものはどれか。	-	赤色	青色	緑色	黄色	オレンジ色	1	セルフスタンドのレギュラーガソリンのノズルは「赤色」です。（規則 第28条の2の5）	"K155, K012"
53	法令	給油取扱所の塀の高さは、最低何m必要か。	-	1.5m	1.8m	2.0m	2.5m	3.0m	3	給油取扱所の周囲には、高さ2m以上の耐火構造等の塀又は壁を設けなければなりません。（規則 第25条の4の2）	"K155, K056, K002"
54	法令	完成検査済証を再交付した際に、旧証を発見した場合の返納期限は。	-	7日以内	10日以内	14日以内	30日以内	返納不要	2	亡失した完成検査済証を発見した場合は、10日以内に提出（返納）しなければなりません。（政令 第8条）	"K065, K181, K019"
55	法令	保安講習を期限内に受けなかった場合、知事ができる処分はどれか。	-	過料の徴収	禁錮刑	免状の返納命令	許可の取消し	罰金刑	3	保安講習の受講義務違反や法令違反があった場合、都道府県知事は免状の返納を命じることができます。（法 第13条の2）	"K025, K031"
56	法令	第4類危険物と混載して運搬できる類別はどれか。	-	第1類・第6類	第2類・第3類・第5類	第1類のみ	第6類のみ	混載不可	2	第4類と混載できるのは、第2類、第3類、第5類です。1類（酸化性固体）と6類（酸化性液体）は混載禁止です。（規則 第46条）	"K184, K118"
57	法令	顧客用固定給油設備のホース長3m超4m以下の場合の道路境界線までの距離は。	-	2m以上	4m以上	5m以上	6m以上	規定なし	3	セルフスタンドの固定給油設備（ホース機器）は、ホース長さに応じて道路境界線から距離を保つ必要があり、3m超4m以下の場合は5m以上です。（規則 第25条の2）	"K155, K026"
58	法令	予防規程を変更したときの手続きはどれか。	-	市町村長等の認可	市町村長等への届出	知事の許可	知事への届出	消防署長への報告	1	予防規程を制定・変更したときは、市町村長等の「認可」が必要です。届出ではありません。（法 第14条の2）	"K017, K078"
59	法令	移動タンク貯蔵所の「間仕切」は何Lごとに設置するか。	-	2000Lごと	3000Lごと	4000Lごと	5000Lごと	制限なし	3	移動タンク貯蔵所（タンクローリー）のタンクは、4000L以下ごとに間仕切を設けなければなりません。（政令 第15条）	"K132, K195, K009"
60	法令	第1種消火設備とはどれか。	-	スプリンクラー	消火器	屋内・屋外消火栓	水バケツ	二酸化炭素消火設備	3	第1種は消火栓設備、第2種はスプリンクラー、第3種は泡・二酸化炭素等、第4種は大型消火器、第5種は小型消火器等です。（政令 第20条）	"K117, K141, K073"
61	法令	第4類危険物火災に適応しない消火方法はどれか。	-	泡による消火	粉末による消火	二酸化炭素による消火	棒状の水による消火	霧状の水による消火	4	第4類（引火性液体）の火災に「棒状の水」をかけると、油が浮いて火災が広がるため適応しません。（政令 別表第五）	"K117, K188, K150"
62	法令	仮使用の承認を受けるための条件はどれか。	-	一部の工事完了後にその部分を使用するとき	所有者が不在のとき	災害時のみ	定期点検中	承認は不要	1	変更工事中に、工事以外の部分を使用したい場合、市町村長等の承認（仮使用承認）を受けることで使用できます。（法 第11条第5項）	"K020, K059"
63	法令	免状を紛失した際に申請する手続きはどれか。	-	書換え	再交付	返納	再発行	新規交付	2	免状の亡失・滅失・汚損・破損の場合は「再交付」申請です。写真や本籍の変更は「書換え」申請です。（令 第35条）	"K043, K034, K019"
64	法令	セルフスタンドでガソリンを1回に給油できる量の上限は。	-	20L	50L	100L	200L	無制限	3	顧客用固定給油設備によるガソリンの1回の給油量上限は100Lまでと定められています。（規則 第28条の2の5）	"K008, K006, K157"
65	法令	保安統括管理者の選任・解任の届出先はどこか。	-	知事	市町村長等	消防長	警察署長	総務大臣	2	保安統括管理者、保安監督者の選任・解任は、いずれも市町村長等に届けます。（法 第12条の7）	"K042, K071, K077"
66	法令	第4類危険物のうち、第3石油類（非水溶性）の指定数量はいくらか。	-	1000L	2000L	4000L	6000L	10000L	2	第3石油類の非水溶性は2000L、水溶性は4000Lです。（政令 別表第三）	"K084, K146"
67	法令	製造所の「排出設備」の排出場所の高さは地上から何m以上か。	-	2m以上	3m以上	4m以上	5m以上	10m以上	1	可燃性蒸気を排出する設備の排出口は、地上2m以上の高さに設ける必要があります。（規則 第16条）	"K169, K089, K050, K002"
68	法令	製造所等において避雷針が必要となるのは、倍数がいくつのときか。	-	10倍以上	30倍以上	50倍以上	100倍以上	全施設	1	指定数量の倍数が10以上の製造所等には、避雷設備を設けなければなりません。（政令 第9条他）	"K192, K086"
69	法令	屋外タンク貯蔵所の防油堤の高さの下限はいくらか。	-	0.3m以上	0.5m以上	1.0m以上	1.5m以上	2.0m以上	2	防油堤の高さは0.5m以上と定められています。（規則 第22条）	"K076, K197, K001"
70	法令	移動タンクの注入ホースの先端に備えるべきものはどれか。	-	シャットオフバルブ	アース線	結合型金具	噴霧ノズル	温度計	3	移動タンクから地下タンク等へ注入するホースの先端には、誤接続や漏えいを防ぐための結合金具を備える必要があります。（政令 第15条）	"K132, K112, K153"
71	法令	製造所等における標識のサイズはいくらか。	-	0.3m×0.6m以上	0.4m×0.4m以上	0.6m×1.2m以上	1.0m×2.0m以上	0.1m×0.3m以上	1	製造所等の標識は、幅0.3m以上、長さ0.6m以上と定められています。（規則 第17条）	"K103, K169"
72	法令	特定屋外タンク貯蔵所の容量基準はどれか。	-	500kL以上	1000kL以上	5000kL以上	10000kL以上	全容量	2	容量が1000kL以上のタンクは「特定屋外タンク貯蔵所」として、厳しい構造基準や検査が義務付けられています。（政令 第8条の2の3）	"K129, K011"
73	法令	保安監督者を選任した際の手続きとして正しいものはどれか。	-	消防署長に届け出る	市町村長等に届け出る	知事の認可を受ける	届出は不要	警察署に連絡する	2	保安監督者を選任したら、遅滞なく市町村長等に届け出なければなりません。（法 第13条）	"K041, K190, K183"
74	法令	第4類危険物の指定数量のうち、最も多い数値はどれか。	-	2000L	4000L	6000L	10000L	20000L	4	第4類の中で最も指定数量が多いのは「動植物油類」の10000Lです。（政令 別表第三）	"K084, K038"
75	法令	販売取扱所（第2種）が貯蔵できる倍数はいくつまでか。	-	15倍まで	15倍超40倍以下	40倍超	50倍まで	制限なし	2	第1種は15倍以下、第2種は15倍を超え40倍以下の販売取扱所です。（政令 第3条）	"K179, K086, K145"
76	法令	製造所の保有空地に物品を置くことは認められるか。	-	認められる	認められない	消防署長の許可があればよい	一時的ならよい	知事の許可があればよい	2	保有空地は、火災時の延焼防止や消防活動のために空けておく場所であり、物品を置くことは禁止されています。（消防法の趣旨）	"K027, K131"
77	法令	保安監督者が旅行等で不在にする際に指定する者は何か。	-	保安員	代行者	代理者	補助者	責任者	3	保安監督者が職務を行えないときは、あらかじめ「職務代行者（代理者）」を指定しておく必要があります。（規則 第60条の2）	"K041, K163"
78	法令	移動タンク貯蔵所に備え付ける書類として誤っているものは。	-	完成検査済証	譲渡届出書	定期点検記録簿	移動タンク貯蔵所構造設備明細書	免状	2	移動タンクには、完成検査済証、定期点検記録、譲渡引渡届出書等の備え付けが必要ですが、運転者が免状を携帯するため、車両への備え付け書類としては「譲渡届出書」が含まれます（譲渡された場合）。解説修正：完成検査済証、定期点検記録、譲渡引渡届出書、品名数量変更届出書は備え付け必須です。	"K132, K030"
79	法令	製造所の窓のガラスはどのようなものにする必要があるか。	-	強化ガラス	合わせガラス	網入りガラス	すりガラス	透明ガラス	3	延焼のおそれのある外壁の窓や出入口にガラスを用いる場合は、防火設備としての「網入りガラス」としなければなりません。（政令 第9条）	"K169, K137, K158"
80	法令	第4石油類に該当する物品の例はどれか。	-	ガソリン	重油	ギヤー油	アセトン	灯油	3	第4石油類には、ギヤー油、シリンダー油などが該当します。（法 別表第一）	"K148, K051"
81	法令	危険等級IIに該当する第4類危険物はどれか。	-	特殊引火物	第1石油類・アルコール類	第2・第3石油類	第4石油類	全品目	2	第4類のうち、特殊引火物は等級I、第1石油類・アルコール類は等級II、その他は等級IIIです。（規則 危険等級の分類）	"K046, K140, K005"
82	法令	第3石油類（水溶性）の指定数量はいくらか。	-	2000L	4000L	6000L	10000L	20000L	2	第3石油類の非水溶性は2000L、水溶性は4000Lです。（政令 別表第三）	"K084, K146"
83	法令	製造所等の設置・変更許可の申請手数料を納める相手は。	-	知事	市町村長等（市町村）	警察署	消防署	総務大臣	2	手数料は、許可権者である市町村等（地方自治体）に納めます。（法 第16条の4）	"K083, K077"
84	法令	定期点検の点検資格者に含まれないのはどれか。	-	甲種危険物取扱者	乙種危険物取扱者	丙種危険物取扱者	施設保安員	消防長	5	定期点検は、危険物取扱者（甲・乙）または危険物施設保安員が行うことができます。丙種は含まれません。消防長は監督官庁であり点検者ではありません。（法 第14条の3の2）	"K066, K123"
85	法令	移動タンクのマンホールの蓋の厚さは何mm以上か。	-	1.6mm以上	3.2mm以上	4.5mm以上	6.0mm以上	9.0mm以上	2	マンホール及び注入口のふたは、厚さ3.2mm以上の鋼板で造る必要があります。（規則 第24条の5）	"K132, K194, K003"
86	法令	法令上、製造所等に警報設備を設置しなければならない指定数量の倍数の基準はどれか。	-	5倍以上	10倍以上	20倍以上	50倍以上	100倍以上	2	指定数量の倍数が10以上の製造所等（移動タンク貯蔵所などを除く）には、火災報知設備その他の警報設備を設けなければなりません。（政令 第21条）	"K177, K173, K086"
87	法令	第1種販売取扱所において取り扱うことができる危険物の数量（指定数量の倍数）の上限はいくらか。	-	10倍以下	15倍以下	20倍以下	40倍以下	制限なし	2	販売取扱所には2種類あり、第1種は倍数15以下、第2種は倍数15を超え40以下です。（政令 第3条）	"K179, K086, K142"
88	法令	法令上、販売取扱所の構造及び設備について、誤っているものはどれか。	-	店舗は建築物の1階に設置しなければならない	危険物を配合する室を設ける場合は、壁・床などを耐火構造としなければならない	第1種販売取扱所は、延焼のおそれのある外壁を出入口以外の開口部を有しない耐火構造の壁としなければならない	第2種販売取扱所には、必ず保安監督者を選任しなければならない	適当な傾斜をつけた床を設けなければならない	4	販売取扱所において危険物保安監督者の選任が必要なのは、第2種販売取扱所のうち「引火点が40℃以上の第4類」以外の危険物（例えばガソリン等）を取り扱う場合等に限られます。すべての第2種で必須というわけではありません。（政令 第31条の2）	"K179, K081, K041"
89	法令	製造所等の位置、構造又は設備が技術基準に適合していない場合、市町村長等が発令できる命令はどれか。	-	使用停止命令	許可の取消し	修理・改造・移転の命令（措置命令）	危険物の除去命令	緊急使用停止命令	3	技術基準不適合の場合は、基準に合うように「修理、改造、移転」を命ずることができます（措置命令）。これに従わない場合に許可取消し等の対象となります。（法 第12条第2項）	"K091, K187"
90	法令	法令上、給油取扱所において「給油」と「灯油の詰め替え」を兼務して行うことができる設備はどれか。	-	固定給油設備	固定注油設備	簡易タンク	移動タンク貯蔵所	ドラム缶	1	規則上、固定給油設備（ガソリン等）を用いて灯油の詰め替えを行うことは禁止されていませんが、誤給油防止措置などが必要です。通常、自動車への給油は「固定給油設備」、容器への詰め替えは「固定注油設備」で行います。（規則 第25条の2他）	"K155, K052"
91	法令	法令上、危険物の運搬において、積載する危険物の性状に応じた「被覆」等の措置について誤っているものはどれか。	-	第1類（過酸化物等）は、直射日光を避けるための遮光性の被覆を行う	第4類（特殊引火物）は、直射日光を避けるための遮光性の被覆を行う	第5類は、雨水の浸透を防ぐための防水性の被覆を行う	第3類（禁水性物質）は、雨水の浸透を防ぐための防水性の被覆を行う	第2類は、被覆の義務はない	5	第2類（引火性固体など）であっても、運搬時の措置として遮光や防水が必要な場合があります（例えば鉄粉等は防水）。第4類や第1類（一部）、第5類、第6類は遮光性の被覆が必要です。（規則 第46条）	"K185, K168, K189"
92	法令	法令上、移動タンク貯蔵所（タンクローリー）を駐車する場所として、正しいものはどれか。	-	屋外の広場ならどこでもよい	防火塀で囲まれた専用の車庫又は常置場所	道路の路肩	一般の駐車場	ガソリンスタンドの給油空地	2	移動タンク貯蔵所は、屋外にあっては防火上安全な空地、屋内にあっては耐火構造等の壁等で区画された安全な場所（常置場所）に駐車しなければなりません。（政令 第15条）	"K132, K079"
93	法令	定期点検を行わなければならない製造所等として、誤っているものはどれか。	-	地下タンクを有する給油取扱所	移動タンク貯蔵所	地下タンクを有する製造所	指定数量の倍数が5倍の地下タンクのない屋内貯蔵所	移送取扱所	4	定期点検の義務があるのは、地下タンクを有する施設、移動タンク貯蔵所、移送取扱所、および倍数が一定以上（例：屋外タンク貯蔵所200倍以上）の施設などです。小規模な屋内貯蔵所（地下タンクなし）は義務対象外です。（政令 第8条の5）	"K066, K069"
94	法令	法令上、製造所等に設置する「第4種消火設備」に該当するものはどれか。	-	ハロゲン化物消火設備	大型消火器	小型消火器	水バケツ	スプリンクラー	2	第1種～第3種は固定式の設備、第4種は「大型消火器」、第5種は「小型消火器」や水バケツ等です。（政令 第20条）	"K117, K149, K060"
95	法令	法令上、危険物取扱者免状を携帯していなくても、危険物の取扱作業ができる場合はどれか。	-	保安監督者が立ち会っている場合	免状を家に忘れたが写真は持っている場合	免状の再交付申請中の場合	いかなる場合も携帯しなければならない	施設保安員がいる場合	4	危険物取扱者が作業を行う場合、必ず免状を携帯していなければなりません。再交付申請中であっても免状なしでの作業は違反となります。（法 第13条）	"K043, K095"
96	法令	セルフスタンドにおいて、顧客用固定給油設備（ガソリン）の1回の給油量の上限はいくつか。	-	50リットル	100リットル	200リットル	制限なし	タンク満タンまで	2	セルフスタンドにおけるガソリンの1回の給油量上限は「100リットル」まで、時間は「4分」まで等の制限設定が義務付けられています。（規則 第28条の2の5）	"K008, K006, K157"
97	法令	法令上、高層建築物等に設置される屋内給油取扱所において、給油取扱所の直上階の床に求められる構造はどれか。	-	耐火構造	不燃材料	準耐火構造	防火構造	木造	1	上階がある屋内給油取扱所の場合、上階への延焼を防ぐため、直上階の床（給油所の天井）は「耐火構造」としなければなりません。（規則 第25条の10）	"K074, K081, K162"
98	法令	指定数量の倍数の変更の届出は、変更しようとする日の何日前までに行わなければならないか。	-	7日前	10日前	14日前	30日前	前日	2	品名、数量又は指定数量の倍数の変更届出は、変更の「10日前」までに行います。（法 第11条の4）	"K057, K072"
99	法令	法令上、製造所等の位置、構造及び設備の基準の特例として、引火点が100℃以上の第4類危険物のみを取り扱う場合に適用される緩和規定の対象となる危険物の名称は何か。	-	特殊引火物	第1石油類	アルコール類	高引火点危険物	自己反応性物質	4	引火点が100℃以上の第4類危険物を「高引火点危険物」と呼び、これのみを扱う施設には基準の特例（緩和）が適用されます。（政令 第9条第2項等）	"K202, K127"
100	法令	法令上、移動タンク貯蔵所に設置する消火器の能力単位（所要単位に対する割合）として正しいものはどれか。	-	所要単位の5分の1以上	所要単位の3分の1以上	所要単位と同等以上	自動車用消火器を2本以上	能力単位の規定はない	4	移動タンク貯蔵所には、能力単位計算ではなく、「自動車用消火器を2本以上」設置することが義務付けられています。（規則 第35条）	"K132, K117, K165"
101	法令	製造所等の所有者等は、危険物の流出その他の事故が発生したとき、直ちに何をしなければならないか。	-	消防署に報告書を提出する	警察に通報する	応急の措置を講じる	近隣住民に謝罪する	原因を調査する	3	事故発生時は、直ちに「応急の措置」を講じなければなりません。その上で消防署等に通報します。（法 第16条の3）	"K082, K018"
102	法令	法令上、給油取扱所において給油業務を行っていないとき（夜間等）に講ずべき措置として、正しいものはどれか。	-	給油空地を開放しておく	周囲を明るく照明しておく	係員以外の者が出入りできない措置を講ずる	特になし	看板をしまう	3	給油業務を行っていないときは、ロープやチェーンを張るなどして、係員以外の者が出入りできない措置を講じる必要があります。（規則 第40条の3の6の2）	"K155, K023"
103	法令	第1類危険物（酸化性固体）と第6類危険物（酸化性液体）を同一の車両で運搬することは認められるか。	-	認められる	認められない	積載量が指定数量の5分の1以下なら認められる	隔壁を設ければ認められる	許可があれば認められる	1	第1類と第6類は、ともに酸化性であり、反応し合わないため「混載可能」です。第1類と第6類は○。混載禁止の組み合わせ（例：1類と2類）を覚えることが重要です。（規則 第46条）	"K184, K118"
104	法令	法令上、製造所等の設置許可申請において、申請書に添付すべき書類として「不要」なものはどれか。	-	製造所等の位置・構造・設備の図面	危険物取扱者免状の写し	電気設備の概要図	消火設備の設計図	敷地周辺の状況図	2	設置許可申請の段階では、まだ危険物取扱者が選任されていないこともあるため、免状の写しは添付書類に含まれません。（規則 第4条）	"K176, K119"
105	法令	製造所の換気設備において、給気口の設置位置として正しいものはどれか。	-	高い位置	低い位置	屋根の上	地下	どこでもよい	2	第4類危険物の蒸気は空気より重いため、排出設備は低所に吸込口を設けますが、換気設備の「給気口」は、新鮮な空気を入れるため一般に低い位置（または自然換気のため開口部）に設けますが、排出については「高所」へ排出します。（規則 第16条）	"K169, K094, K154"
106	法令	地下貯蔵タンクの「通気管」の先端の高さは、地上何メートル以上と定められているか。	-	1.5m以上	2m以上	3m以上	4m以上	制限なし	4	地下貯蔵タンクの通気管は、先端を地上4m以上の高さにしなければなりません。（規則 第17条）	"K053, K182"
107	法令	法令上、危険物の「指定数量」を定める政令はどれか。	-	危険物の規制に関する政令	消防法施行令	建築基準法施行令	労働安全衛生法施行令	高圧ガス保安法施行令	1	指定数量は「危険物の規制に関する政令」の別表第三で定められています。	"K084, K096"
